Code départemental de l’établissement;Capacité de l’établissement par formation;Effectif des admis néo bacheliers généraux ayant eu une mention au bac;Sélectivité
31;12;8;formation sélective
31;23;2;formation sélective
31;96;83;formation sélective
31;12;0;formation sélective
32;19;0;formation sélective
32;24;1;formation sélective
32;45;5;formation sélective
33;44;47;formation sélective
33;96;94;formation sélective
33;96;95;formation sélective
33;30;0;formation sélective
33;60;0;formation sélective
33;35;1;formation sélective
33;64;10;formation sélective
33;35;2;formation sélective
33;35;0;formation sélective
33;30;0;formation sélective
33;30;0;formation sélective
33;15;14;formation sélective
33;10;10;formation sélective
33;50;8;formation sélective
33;60;27;formation sélective
33;106;78;formation sélective
33;35;2;formation sélective
33;40;4;formation non sélective
33;85;17;formation non sélective
33;440;139;formation non sélective
33;80;41;formation sélective
33;250;46;formation non sélective
33;145;58;formation sélective
33;70;18;formation sélective
33;40;17;formation non sélective
33;145;50;formation non sélective
33;32;2;formation sélective
33;24;1;formation sélective
33;105;0;formation sélective
33;32;3;formation sélective
33;32;1;formation sélective
33;32;0;formation sélective
33;32;6;formation sélective
33;35;0;formation sélective
33;35;0;formation sélective
33;14;11;formation sélective
33;10;10;formation sélective
34;96;96;formation sélective
34;37;1;formation sélective
34;45;0;formation sélective
34;36;2;formation sélective
34;24;0;formation sélective
34;24;0;formation sélective
34;104;47;formation sélective
34;28;15;formation sélective
34;17;0;formation sélective
34;240;149;formation non sélective
34;540;274;formation non sélective
34;290;124;formation non sélective
34;190;22;formation non sélective
34;45;0;formation non sélective
34;65;13;formation non sélective
34;13;1;formation non sélective
34;40;18;formation non sélective
34;30;1;formation sélective
34;52;1;formation sélective
34;33;0;formation sélective
34;40;9;formation non sélective
34;95;15;formation non sélective
35;30;0;formation sélective
35;35;1;formation sélective
35;35;3;formation sélective
35;35;10;formation sélective
35;24;0;formation sélective
35;85;82;formation sélective
35;35;1;formation sélective
35;30;0;formation sélective
35;30;0;formation sélective
35;15;0;formation sélective
35;15;0;formation sélective
35;35;5;formation sélective
35;35;5;formation sélective
35;19;2;formation sélective
35;20;20;formation sélective
35;160;40;formation non sélective
35;340;83;formation non sélective
35;360;210;formation non sélective
35;365;153;formation non sélective
35;32;0;formation sélective
35;44;1;formation sélective
36;20;4;formation sélective
36;17;0;formation sélective
36;16;1;formation sélective
36;95;31;formation non sélective
36;45;13;formation non sélective
37;36;0;formation sélective
37;15;0;formation sélective
37;22;1;formation sélective
37;38;2;formation sélective
37;32;3;formation sélective
37;32;1;formation sélective
37;320;84;formation non sélective
37;320;56;formation non sélective
